valor	UnidadEntrada	UnidadSalida	Resultado	DateTime
10	megabyte	byte	10240	15/07/2017 17:21:38
455	decimetro		10240	15/07/2017 17:22:02
455	decimetro	metro	45,5	15/07/2017 17:22:06
0,2356	kelvin	delisle	-119,737807285786	16/07/2017 6:18:13
-256				16/07/2017 6:26:46
-256	Fahrenheit	delisle	32213,3248	16/07/2017 6:26:53
12545	decimetro	nanometro	1254500000000	16/07/2017 6:44:50
125	grado Centesimal	minuto de arco	6750,0375	16/07/2017 6:45:02
1254				16/07/2017 6:50:30
1545	micrometro	milla	9,59445E-07	16/07/2017 6:50:36
1215,566	milimetro	nanometro	1215566040,03906	16/07/2017 8:09:47
2,4				27/05/2019 10:07:09
2,4	segundo	semana	3,96816015768051E-06	27/05/2019 10:07:16
